URL,Property Name,Rating,Normal Price,Price after Discount,Number of remaining rooms,District
https://mamikos.com/room/kost-jakarta-barat-kost-putri-eksklusif-kost-singgahsini-ninetree-mangga-besar-tipe-b-tamansari-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Ninetree Mangga Besar Tipe B Tamansari Jakarta Barat,4.7,Rp2.130.000,Rp1.704.000,Sisa 4 kamar,Taman Sari
https://mamikos.com/room/kost-kota-jakarta-timur-kost-campur-eksklusif-kost-apik-paus-94-tipe-a-rawamangun-jakarta-timur?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Paus 94 Tipe A Rawamangun Jakarta Timur,4.8,Rp1.500.000,Rp1.200.000,Sisa 2 kamar,Kecamatan Pulo Gadung
https://mamikos.com/room/kost-jakarta-barat-kost-campur-eksklusif-kost-apik-royz-cempaka-tipe-b-kebon-jeruk-jakarta-barat-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Royz Cempaka Tipe B Kebon Jeruk Jakarta Barat,4.5,Rp1.500.000,Rp1.230.000,Sisa 1 kamar,Kecamatan Kebon Jeruk
https://mamikos.com/room/kost-kota-jakarta-timur-kost-campur-eksklusif-kost-singgahsini-rupa-pulo-asem-tipe-d-pulogadung-jakarta-timur?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Rupa Pulo Asem Tipe D Pulogadung Jakarta Timur,4.6,Rp2.350.000,Rp1.997.500,0,Kecamatan Pulo Gadung
https://mamikos.com/room/kost-kota-jakarta-utara-kost-putra-eksklusif-kost-apik-griya-bosi-cilincing-jakarta-utara?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Griya Bosi Cilincing Jakarta Utara,4.3,Rp1.500.000,Rp1.200.000,Sisa 3 kamar,Kecamatan Cilincing
https://mamikos.com/room/kost-kota-bekasi-kost-campur-eksklusif-kost-singgahsini-dominique-tipe-a-jatisampurna-bekasi-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Dominique Tipe A Jatisampurna Bekasi,4.7,Rp1.650.000,Rp1.369.500,Sisa 3 kamar,Kecamatan Jatisampurna
https://mamikos.com/room/kost-kota-jakarta-timur-kost-campur-eksklusif-kost-singgahsini-cynthia-duren-sawit-jakarta-timur?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Cynthia Duren Sawit Jakarta Timur,4.9,Rp1.500.000,Rp1.200.000,Sisa 1 kamar,Kecamatan Duren Sawit
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-singgahsini-untar-s-parman-tipe-b-tomang-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini UNTAR S Parman Tipe B Tomang Jakarta Barat,4.5,Rp2.300.000,Rp1.955.000,0,Kecamatan Grogol petamburan
https://mamikos.com/room/kost-kota-jakarta-barat-kost-campur-eksklusif-kost-apik-apple-tree-tipe-a-tanjung-duren-jakarta-barat?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Apple Tree Tipe A Tanjung Duren Jakarta Barat,4.5,Rp1.370.000,Rp1.137.100,Sisa 2 kamar,Kecamatan Grogol petamburan
https://mamikos.com/room/kost-sleman-kost-putri-eksklusif-kost-apik-asrama-ibu-suminah-tipe-a-pogung-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik Asrama Ibu Suminah Tipe A Pogung Yogyakarta,5.0,Rp1.030.000,Rp854.900,0,Mlati
https://mamikos.com/room/kost-kota-surakarta-kost-putra-eksklusif-kost-singgahsini-satria-semanggi-tipe-a-surakarta?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Satria Semanggi Tipe A Surakarta,0,Rp1.500.000,Rp1.200.000,0,Pasar Kliwon
https://mamikos.com/room/kost-sleman-kost-campur-eksklusif-kost-singgahsini-medical-tipe-b-kronggahan-yogyakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Singgahsini Medical Tipe B Kronggahan Yogyakarta,0,Rp2.000.000,Rp1.700.000,0,Gamping
https://mamikos.com/room/kost-surakarta-kost-campur-eksklusif-kost-apik-ums-matoa-9-tipe-a-laweyan-surakarta-1?redirection_source=promo%20ngebut%20kos%20lp,Kost Apik UMS Matoa 9 Tipe A Laweyan Surakarta,4.7,Rp900.000,Rp747.000,Sisa 1 kamar,Kecamatan Laweyan
